"Latitude","Longitude","NDWI","NDVI","HSI","DATA","COLECAO"
-261690,823740,-0.378418654203415,0.29308956861496,0.671508193016052,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-324330,877050,-0.365855395793915,0.287254959344864,0.653110384941101,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-211320,839070,-0.37371090054512,0.289519935846329,0.663230836391449,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-214830,838800,-0.384051024913788,0.29395592212677,0.678006947040558,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-270750,717030,-0.403672426939011,0.306845098733902,0.710517525672913,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-428670,747390,-0.378864228725433,0.29180246591568,0.670666694641113,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-327360,808560,-0.352911442518234,0.277887552976608,0.630798995494843,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-379650,770520,-0.366874247789383,0.286244511604309,0.65311872959137,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-222840,816240,-0.373531430959702,0.290691822767258,0.664223253726959,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-265050,747330,-0.393809676170349,0.301370173692703,0.69517982006073,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-227580,869100,-0.387594074010849,0.298489987850189,0.686084032058716,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-339180,701730,-0.381329387426376,0.29232719540596,0.673656582832336,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-244230,732240,-0.355246067047119,0.278614699840546,0.633860766887665,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-413820,755100,-0.377213448286057,0.291114330291748,0.668327808380127,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-291330,732390,-0.401210218667984,0.304801911115646,0.70601212978363,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-378960,671490,-0.385090410709381,0.296106398105621,0.681196808815002,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-349620,861630,-0.370371639728546,0.288722068071365,0.659093737602234,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-426120,846390,-0.383837014436722,0.295038521289825,0.67887556552887,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-212640,770190,-0.195391416549683,0.141668871045113,0.337060272693634,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-433920,869460,-0.367146521806717,0.286210805177689,0.653357326984406,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-343380,800880,-0.385723412036896,0.298246473073959,0.683969855308533,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-292800,800610,-0.383783787488937,0.296779721975327,0.680563509464264,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-283710,694290,-0.36312609910965,0.285859495401382,0.648985624313354,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-363510,694080,-0.215070188045502,0.151382729411125,0.366452932357788,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-361260,671310,-0.376250714063644,0.292044550180435,0.66829526424408,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-319800,816240,-0.373531430959702,0.290691822767258,0.664223253726959,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-264060,717090,-0.369896620512009,0.289588123559952,0.65948474407196,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
