Latitude,Longitude,NDWI,NDVI,HSI,DATA,COLECAO,MHTEMPMAX(media-harmonica-temperatura-maxima(C)),MHTEMPMIN(media-harmonica-temperatura-minima(C)),SUMCHUVA(soma-chuva(mm)),SUMPRECIPITACAO(soma-precipitacao(mm)),MHEVAPOTRANSPIRACAO(media-harmonica-soma-evapotranspiracao(mm))
-4.1907,-77781,-0.176336005330086,0.120056852698326,0.296392858028412,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,30.99288558959961,21.765121459960938,595.7000732421875,595.300048828125,3.9228575229644775
-4.2705,-84.63,-0.203422471880913,0.145337030291557,0.34875950217247,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.483381271362305,22.689849853515625,4.099999904632568,4.0,3.9160048961639404
-3.4152,-69426,-0.352703392505646,0.27594855427742,0.628651976585388,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.823591232299805,23.402446746826172,744.300048828125,735.7000122070312,3.9004626274108887
-3.2037,-68667,-0.346401900053024,0.277278631925583,0.623680531978607,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.600502014160156,23.48992919921875,680.10009765625,668.300048828125,3.999427318572998
-2.6883,-80847,-0.3630450963974,0.283922612667084,0.646967709064484,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.073589324951172,23.20000648498535,6.5,6.5,4.000651836395264
-3.6711,-74757,-0.368654668331146,0.288891166448593,0.657545804977417,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.20277786254883,23.52039337158203,751.5001220703125,749.0000610351562,3.9360973834991455
-2.9052,-84666,-0.359913408756256,0.284606695175171,0.644520103931427,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.69037437438965,22.928823471069336,3.499999761581421,3.499999761581421,3.959696054458618
-2.9262,-79338,-0.361754477024078,0.283797025680542,0.64555150270462,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,14.077902793884277,5.282982349395752,322.10003662109375,322.1000061035156,3.025005578994751
-2.3358,-67893,-0.348242819309235,0.2759610414505,0.624203860759735,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.45821762084961,23.311744689941406,558.0000610351562,531.1000366210938,4.036535263061523
-3.6879,-80085,-0.365654289722443,0.286429315805435,0.6520836353302,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.22479248046875,21.900232315063477,183.40000915527344,183.09999084472656,3.978018045425415
-3.7299,-77778,-0.311279833316803,0.248800665140152,0.560080528259277,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,30.897445678710938,22.12253761291504,1082.2998046875,1079.1998291015625,3.716524362564087
-2.4405,-80862,-0.366388082504272,0.286698192358017,0.653086304664612,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.00687599182129,23.2177734375,22.000003814697266,22.000001907348633,3.8339221477508545
-2.1288,-78.54,-0.234681591391563,0.179374635219574,0.414056241512299,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,10.12661075592041,3.100719690322876,557.5,553.2000122070312,2.3737308979034424
-2.4897,-72.45,-0.369728893041611,0.286812901496887,0.65654182434082,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.814697265625,23.554311752319336,742.800048828125,736.800048828125,4.035629749298096
-3.3015,-73974,0.0137018114328384,-0.0180127155035734,-0.031714528799057,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.15354919433594,23.277814865112305,757.5000610351562,755.0,3.914985418319702
-2.1441,-85392,-0.198145493865013,0.141576066613197,0.33972156047821,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.17290687561035,23.367572784423828,15.100000381469727,15.09999942779541,4.037792682647705
-2.1684,-69423,-0.356377720832825,0.281368523836136,0.637746214866638,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.18388366699219,23.25719451904297,700.300048828125,679.9000244140625,3.979422092437744
-2.9631,-82353,-0.367535203695297,0.284643918275833,0.65217912197113,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.492698669433594,21.813615798950195,3.500000238418579,3.500000238418579,3.6239378452301025
-4.0404,-78573,-0.369408667087555,0.287429839372635,0.656838536262512,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,20.76413917541504,12.697870254516602,516.4000244140625,514.2000122070312,3.149562358856201
-3.3198,-84648,-0.36564627289772,0.287256121635437,0.652902364730835,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.585540771484375,22.79698371887207,6.0,5.800000190734863,3.897202253341675
-4329,-78576,-0.36187019944191,0.283639013767242,0.645509243011475,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,29.020774841308594,18.87804412841797,570.2000122070312,569.4000244140625,3.9372129440307617
-3.7614,-85407,-0.357758611440659,0.282195776700974,0.639954388141632,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.877811431884766,23.04839515686035,7.100000381469727,7.100000381469727,4.0949578285217285
-3.2136,-83883,-0.354510337114334,0.279927521944046,0.63443785905838,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.21619987487793,22.487485885620117,1.9000000953674316,1.9000000953674316,3.8130199909210205
-3876,-76275,-0.360549569129944,0.28283280134201,0.643382370471954,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,30.999481201171875,22.96531867980957,1142.800048828125,1124.10009765625,3.657005786895752
-3.4104,-79323,-0.358707368373871,0.28173890709877,0.640446305274963,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,28.719423294067383,16.087682723999023,141.6999969482422,141.6999969482422,4.744247913360596
-2.7963,-74007,-0.352152734994888,0.278213083744049,0.63036584854126,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.53652000427246,23.235855102539062,841.7999267578125,838.5999755859375,3.980968952178955
-2.4408,-70941,-0.377106696367264,0.291273295879364,0.66838002204895,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.639934539794922,23.178466796875,759.800048828125,742.6000366210938,3.9570062160491943
-4.2837,-83.88,-0.384051024913788,0.29395592212677,0.678006947040558,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.101970672607422,22.31290054321289,2.200000047683716,2.200000047683716,3.820336103439331
-4.1832,-69423,-0.356377720832825,0.281368523836136,0.637746214866638,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.795204162597656,24.491743087768555,742.9000244140625,738.800048828125,3.9251129627227783
-2.6493,-71703,-0.403672426939011,0.306845098733902,0.710517525672913,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.43132781982422,23.040077209472656,794.3999633789062,779.2999877929688,3.903693199157715
-4.2558,-68667,-0.346401900053024,0.277278631925583,0.623680531978607,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.046173095703125,22.832744598388672,757.9000244140625,746.7000122070312,3.9200310707092285
-2979,-83109,-0.181867018342018,0.125213086605072,0.307080090045929,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.814111709594727,22.03803253173828,2.9000000953674316,2.9000000953674316,3.6995885372161865
-2859,-76287,-0.36306956410408,0.283559858798981,0.646629452705383,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,30.349464416503906,22.198286056518555,862.4000244140625,858.1000366210938,3.6942250728607178
-3.8409,-67125,-0.0232138112187386,0.0077354377135634,0.0309492498636246,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,33.10114669799805,23.549869537353516,519.2999877929688,492.3000183105469,4.0954694747924805
-4.2372,-79338,-0.361754477024078,0.283797025680542,0.64555150270462,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,26.963560104370117,14.596516609191895,415.10003662109375,415.10003662109375,4.510043621063232
-4.3401,-86151,-0.245867222547531,0.197978094220161,0.443845331668854,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.036701202392578,23.15526580810547,14.5,14.5,4.19211483001709
-3.4179,-65613,-0.36966809630394,0.288556575775146,0.658224701881409,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,33.55251693725586,23.746868133544922,422.3999938964844,408.0000305175781,4.217233180999756
-3.1257,-86193,-0.376217782497406,0.290616542100906,0.666834354400635,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.28374481201172,23.42140769958496,12.30000114440918,12.200000762939453,4.1527204513549805
