"","20241012_ndwi","20241112_ndwi","20241012_hsi","20241112_hsi","20241012_ndvi","20241112_ndvi","x","y"
"ndwi_pred.coord_63",-0.306308011805116,-0.305836682268106,0.401984875020761,0.401432427481522,0.0872029504164806,0.0921314407237306,818580,-275640
"ndwi_pred.coord_64",-0.269443195237067,-0.274253701923705,0.421680031096259,0.417952719681052,0.148162794484414,0.148728416624231,785250,-304380
"ndwi_pred.coord_65",-0.293267773410879,-0.291581084649937,0.38293412605347,0.374793924848792,0.0890663896271291,0.0877340129096114,730140,-351510
"ndwi_pred.coord_66",-0.304721708475565,-0.304426095433004,0.409081197368404,0.402057845960336,0.101219085827191,0.0940312482731123,688920,-319590
"ndwi_pred.coord_67",-0.2101012013776,-0.209982319675929,0.254376053651081,0.247891352625545,0.0488935837591211,0.0480617264690991,837150,-384450
"ndwi_pred.coord_68",-0.276416220105609,-0.277211706859783,0.360280855616368,0.364209430095515,0.0778072939752472,0.0856983646776105,794700,-350040
"ndwi_pred.coord_69",-0.00516319664128343,-0.00389996732051659,0.00155927276231615,0.00166841246134724,-0.00510129379102195,-0.00495663468578315,747720,-265530
"ndwi_pred.coord_70",-0.305009569970835,-0.304577906075951,0.405920348290993,0.416831983795272,0.10036628191141,0.0944336808144154,694800,-292950
"ndwi_pred.coord_71",0.0634103049087261,0.0613257577507806,-0.130978875635758,-0.131252118342718,-0.0678009174370437,-0.0632108338088266,720660,-397740
"ndwi_pred.coord_72",-0.27612770085423,-0.275928080192325,0.342794602829344,0.331868070854008,0.0569266482807943,0.0545492104617032,696270,-274560
"ndwi_pred.coord_73",-0.276241784879869,-0.277490149050473,0.371756486517644,0.368940927446527,0.0938312183941361,0.0881762153699287,703080,-401490
"ndwi_pred.coord_74",-0.307783267577598,-0.305380761091995,0.414032466325275,0.404519823318487,0.100985892591436,0.100070228540143,781530,-275010
"ndwi_pred.coord_75",-0.261549087226812,-0.265165417875818,0.340034309662987,0.334214130199752,0.0751250334847812,0.06900316704613,827100,-243720
"ndwi_pred.coord_76",-0.304368440798826,-0.30375880569023,0.402839352070266,0.40300492547489,0.104140112295835,0.106318278976046,707970,-222450
"ndwi_pred.coord_77",-0.29699415766395,-0.29463324777953,0.382388812915965,0.377632518145063,0.0877895687811849,0.082882123850114,819180,-253230
"ndwi_pred.coord_78",-0.29012531380137,-0.286288449283919,0.396558324580074,0.394101820150449,0.0966090874560897,0.103108254438607,783960,-353820
"ndwi_pred.coord_79",-0.282468361078856,-0.284938821260302,0.356597395914431,0.361716734097776,0.0790460914254565,0.0833612256937091,705750,-303180
"ndwi_pred.coord_80",-0.286294679593071,-0.286489407972089,0.379015645427229,0.378140384022796,0.100464323290096,0.101273211845656,693630,-269850
"ndwi_pred.coord_81",-0.303773457628392,-0.303615989197112,0.413289830803126,0.41280665455639,0.0985476895764913,0.0994561589737924,821610,-240330
"ndwi_pred.coord_82",-0.279776166795769,-0.279594735629128,0.369586964769375,0.373705197533799,0.0881209903820864,0.0909101686781635,757830,-280680
"ndwi_pred.coord_83",-0.291569667717896,-0.291415890431571,0.389591505980536,0.378208698811942,0.0901938922699334,0.0950935165926504,866520,-258990
"ndwi_pred.coord_84",-0.263561499212919,-0.266076834529095,0.324879497782976,0.326031102138166,0.0635712366612975,0.0688692521560068,716790,-385800
"ndwi_pred.coord_85",-0.298957830635567,-0.30172341781412,0.400456242810575,0.409723526742728,0.101177518073001,0.102575052658912,721020,-350520
"ndwi_pred.coord_86",0.0764169641041086,0.0756819732934878,-0.136586418953109,-0.137518797740915,-0.0580604114363552,-0.0563800530665591,841830,-360660
"ndwi_pred.coord_87",-0.283164667618276,-0.283824655968248,0.380427037491354,0.391677783167152,0.102399564801815,0.103461081232981,841380,-324330
"ndwi_pred.coord_88",-0.262747126227733,-0.260999442511725,0.336979954111792,0.326149454039323,0.0761797312041063,0.0676591464313882,717030,-260970
"ndwi_pred.coord_89",0.00423363210086372,0.00574970574898533,-0.0150358522528386,-0.017717388925212,-0.0133637507658831,-0.0115583975097322,739020,-284100
"ndwi_pred.coord_90",0.0810832427435005,0.0796476698528183,-0.15690743010383,-0.152726658346743,-0.0735222301639602,-0.0703878201224701,832290,-360150
"ndwi_pred.coord_91",-0.296999110028821,-0.295491094265486,0.39516299341376,0.397965359718646,0.100939938061081,0.101511397911718,827700,-295710
"ndwi_pred.coord_92",-0.30396060474019,-0.300158091171224,0.389388574951862,0.400074105448392,0.100291727559838,0.0934336190328771,768990,-282570
"ndwi_pred.coord_93",-0.287437039805525,-0.287822907708187,0.404589717433625,0.394411723967039,0.11010038030346,0.101036477787556,769200,-379890
"ndwi_pred.coord_94",-0.294523588448665,-0.293272060204143,0.395298698877675,0.391383796720413,0.106459127859726,0.11119559714221,768840,-263250
"ndwi_pred.coord_95",-0.0828773998022068,-0.085913141111269,0.0859540724925422,0.0820040645037498,-0.00251876377563038,-0.00305042715098226,774510,-344640
"ndwi_pred.coord_96",-0.311317036073121,-0.310271340760222,0.403159418716006,0.405058385614466,0.100146587950709,0.0983798594352195,698760,-314910
"ndwi_pred.coord_97",-0.280190525155996,-0.280569267935894,0.337316763680959,0.317170146910437,0.0412299636820649,0.0404582715149561,700290,-207420
"ndwi_pred.coord_98",-0.277968954358661,-0.279923924421605,0.365515224129025,0.360167788041216,0.0839379740122671,0.0777886797041812,787200,-234930
"ndwi_pred.coord_99",-0.320409628539582,-0.31996183464295,0.433078609923802,0.432910149506122,0.116443922109832,0.112554440573359,850590,-251670
"ndwi_pred.coord_100",-0.245060488464064,-0.245177735250244,0.329955452706407,0.335138165553572,0.0901912453039451,0.0846306185541318,791760,-331890
"ndwi_pred.coord_101",-0.306246354934446,-0.308242967156084,0.406148279039346,0.408453483551899,0.105413893995857,0.0956406130414447,713790,-230550
"ndwi_pred.coord_102",-0.294748248878849,-0.294533924128357,0.388882703792107,0.380715588083489,0.0841272718344967,0.0843072012055166,748650,-348030
"ndwi_pred.coord_103",-0.250874867867696,-0.253074133439762,0.323960298386607,0.321670235439663,0.0760146891361585,0.0678069139608914,839460,-423390
"ndwi_pred.coord_104",-0.132216868373375,-0.12927454523996,0.235593259582541,0.231015152306646,0.11393945509605,0.117448588390231,676980,-341130
"ndwi_pred.coord_105",-0.303867329128362,-0.303847231237975,0.383711410511764,0.371510411506944,0.0686419676186942,0.0677261494732191,826680,-310830
"ndwi_pred.coord_106",-0.278472720635825,-0.276952015164381,0.362413790124551,0.369871009578261,0.0828520825104056,0.0903774808163701,836730,-424170
"ndwi_pred.coord_107",-0.343937594281412,-0.344672429942869,0.457061452947324,0.460711663785877,0.117809438177827,0.110193474348419,822960,-251700
"ndwi_pred.coord_108",0.000162471235077438,0.00036335012775076,0.0102719533201569,0.0109772511714629,0.00980536289686407,0.0110887459993516,741750,-285930
"ndwi_pred.coord_109",-0.260816770164289,-0.261676184271317,0.318268768804574,0.316996510443031,0.0599515278936915,0.0595330298275377,803760,-354420
"ndwi_pred.coord_110",-0.294385842932803,-0.293893943154881,0.38887381209242,0.39590329999042,0.0978236851158752,0.099232753605626,853740,-253950
"ndwi_pred.coord_111",-0.29252616922598,-0.290068739491224,0.402488842616529,0.401931283878635,0.110134312457474,0.110383890499648,715950,-228330
"ndwi_pred.coord_112",-0.265106379538103,-0.266825583165994,0.339482505573978,0.336169735168028,0.0739129032158543,0.0700081529010968,791340,-397530
"ndwi_pred.coord_113",-0.286739883971462,-0.286774801829074,0.393759220553697,0.384783988745458,0.104869588404736,0.102236024728728,743400,-266730
"ndwi_pred.coord_114",-0.368679789098929,-0.370354957042902,0.656557023093562,0.661625518420565,0.284929706740379,0.284256889479409,877200,-264570
"ndwi_pred.coord_115",-0.340510459964635,-0.341668457369997,0.445067665177765,0.427223852722893,0.0989396324848125,0.0956795453806438,671010,-349950
